,a/c,a/t,c/b,phi,F,Mg
2920,0.35,0.4,0.05,0.14837,0.87973,1.43304
7926,0.6,0.8,0.2,1.36097,1.25943,1.24321
18890,2.0,0.8,0.15,1.65046,0.52292,0.72786
7873,0.6,0.8,0.05,2.84183,1.24897,1.55343
5080,0.45,0.7,0.01,2.82993,1.15723,1.59437
15267,1.5,0.7,0.15,0.00952,1.00443,0.99467
17486,1.8,0.8,0.1,2.09921,0.65349,0.77946
11762,1.1,0.2,0.01,0.30667,1.04727,1.05144
5840,0.5,0.6,0.05,0.28539,1.08989,1.45994
9198,0.7,0.5,0.15,0.00311,1.1454,1.3595
5583,0.5,0.4,0.01,2.7303,0.97026,1.24412
17207,1.8,0.5,0.15,1.21027,0.61208,0.76687
10170,0.8,0.7,0.2,0.90162,1.16856,1.19194
1709,0.25,0.8,0.3,1.20062,1.73587,1.71334
1305,0.25,0.5,0.2,0.44224,1.01556,1.44179
9550,0.7,0.8,0.2,2.40112,1.21435,1.29123
6358,0.55,0.3,0.05,2.39514,1.01398,1.14028
11177,1.0,0.3,0.1,0.75055,1.07249,1.0705
6487,0.55,0.4,0.05,2.8745,0.97833,1.27018
18105,1.9,0.7,0.15,0.44894,0.77094,0.7919
14186,1.4,0.4,0.05,1.65418,0.73954,0.87305
10838,0.9,0.7,0.05,0.29707,1.24095,1.30018
5584,0.5,0.4,0.01,2.86608,0.9532,1.28209
2591,0.3,0.8,0.2,1.19872,1.57568,1.59475
8761,0.65,0.8,0.1,0.59253,1.22185,1.37993
9608,0.8,0.2,0.1,1.63831,1.05665,1.05578
3697,0.4,0.3,0.1,0.17619,0.85333,1.29732
10507,0.9,0.4,0.01,1.04903,1.06564,1.07857
16895,1.8,0.2,0.15,1.65905,0.57601,0.76734
12500,1.2,0.2,0.01,0.76677,0.91821,0.95546
156,0.2,0.3,0.05,1.33893,1.23446,1.25004
8665,0.65,0.7,0.15,1.9626,1.20303,1.21781
7732,0.6,0.7,0.05,0.61549,1.17906,1.35352
13880,1.3,0.8,0.05,2.99979,1.13054,1.13146
15683,1.6,0.4,0.1,2.5581,0.79924,0.83909
8865,0.7,0.2,0.05,0.46067,0.97312,1.10962
1536,0.25,0.7,0.15,0.45793,1.25941,1.77135
18555,2.0,0.5,0.05,1.80682,0.53043,0.72163
1581,0.25,0.7,0.3,0.90558,1.57816,1.69353
8006,0.65,0.2,0.1,0.72989,1.00251,1.10292
7459,0.6,0.5,0.01,0.6156,1.0748,1.23509
15312,1.5,0.8,0.01,0.45343,0.90638,0.93224
3599,0.4,0.2,0.15,1.17099,1.07275,1.1068
10024,0.8,0.6,0.1,1.04831,1.12765,1.15017
16405,1.7,0.4,0.2,0.6003,0.77628,0.81492
10621,0.9,0.5,0.01,2.40219,1.09039,1.12062
7074,0.55,0.8,0.3,2.68902,1.2824,1.50763
10146,0.8,0.7,0.15,0.44797,1.19429,1.28951
5842,0.5,0.6,0.05,0.58706,1.13384,1.36086
643,0.2,0.7,0.1,1.95032,1.77429,1.83014
5071,0.45,0.7,0.01,1.49634,1.32348,1.32489
3071,0.35,0.5,0.1,0.74152,1.15433,1.35333
16848,1.8,0.2,0.05,0.88663,0.6671,0.76261
6421,0.55,0.3,0.2,2.39514,1.01884,1.13778
17357,1.8,0.7,0.01,1.6526,0.5677,0.7588
8895,0.7,0.2,0.1,1.79285,1.06126,1.06661
7744,0.6,0.7,0.05,2.41038,1.18661,1.32246
6690,0.55,0.5,0.3,1.81037,1.20682,1.18497
4216,0.4,0.7,0.1,2.39336,1.2943,1.49727
15604,1.6,0.3,0.2,0.15141,0.90639,0.90282
2159,0.3,0.5,0.05,2.53771,1.10932,1.40865
6606,0.55,0.5,0.05,1.81037,1.17974,1.1907
4125,0.4,0.6,0.2,1.35504,1.34049,1.33362
2510,0.3,0.8,0.01,1.65391,1.54668,1.54904
2294,0.3,0.6,0.1,0.75453,1.29345,1.51978
17113,1.8,0.4,0.15,2.8469,0.80834,0.81602
7205,0.6,0.3,0.01,0.27909,0.96183,1.20302
8067,0.65,0.2,0.3,0.48872,0.99114,1.13822
7777,0.6,0.7,0.15,1.0607,1.2198,1.25897
572,0.2,0.6,0.3,0.74723,1.43079,1.65845
12369,1.1,0.7,0.2,0.00579,1.27573,1.25363
12832,1.2,0.5,0.1,0.15591,1.09959,1.09823
232,0.2,0.4,0.01,0.13613,0.71369,1.45627
13087,1.2,0.7,0.2,0.60225,1.03693,1.0456
16994,1.8,0.3,0.15,0.74392,0.70673,0.77418
3756,0.4,0.3,0.2,2.7173,0.89549,1.19867
3654,0.4,0.3,0.01,0.08837,0.85721,1.34183
15955,1.6,0.7,0.01,2.39618,0.77816,0.84483
2946,0.35,0.4,0.1,0.88181,1.12609,1.2533
5602,0.5,0.4,0.05,2.38088,1.05469,1.1944
1258,0.25,0.5,0.05,2.85616,0.93553,1.53702
3819,0.4,0.4,0.05,2.71122,0.94631,1.27133
6114,0.5,0.8,0.1,0.45851,1.24827,1.56488
15870,1.6,0.6,0.05,2.25065,0.74142,0.83095
11138,1.0,0.3,0.01,1.18926,1.05133,1.05131
12888,1.2,0.5,0.2,2.2447,0.94396,0.98168
104,0.2,0.2,0.2,2.9794,0.63014,1.24166
11487,1.0,0.6,0.1,0.00542,1.30319,1.29836
14836,1.5,0.3,0.1,1.48611,0.68692,0.83788
4749,0.45,0.4,0.15,0.41892,0.96186,1.25778
7607,0.6,0.6,0.05,0.76527,1.14252,1.26302
9486,0.7,0.8,0.05,2.2496,1.19487,1.26228
12992,1.2,0.6,0.2,2.09759,0.9392,0.9872
7007,0.55,0.8,0.1,2.10269,1.26648,1.32409
3389,0.35,0.7,0.3,1.19513,1.46625,1.45386
6669,0.55,0.5,0.2,1.81037,1.19392,1.19103
17900,1.9,0.5,0.1,1.20952,0.57805,0.74021
2195,0.3,0.5,0.15,1.64039,1.37322,1.36518
16455,1.7,0.5,0.05,1.7944,0.61568,0.78451
12278,1.1,0.6,0.2,2.09732,1.02212,1.04254
11454,1.0,0.6,0.01,1.34504,1.08852,1.08848
9829,0.8,0.4,0.15,0.14425,1.11074,1.23138
15048,1.5,0.5,0.1,1.80594,0.70495,0.84671
15563,1.6,0.3,0.1,0.29082,0.85506,0.86452
8689,0.65,0.7,0.2,2.41225,1.19282,1.2913
3667,0.4,0.3,0.01,1.96174,1.1141,1.1509
18640,2.0,0.6,0.01,1.94743,0.55414,0.71968
16906,1.8,0.2,0.2,0.15317,0.84665,0.84589
9559,0.8,0.2,0.01,0.61521,1.01351,1.08551
12352,1.1,0.7,0.15,0.60473,1.10276,1.1079
7439,0.6,0.4,0.3,0.75852,1.07325,1.16296
12110,1.1,0.5,0.05,2.1066,0.99054,1.02435
1625,0.25,0.8,0.05,1.20062,1.68414,1.73802
9685,0.8,0.3,0.05,0.60987,1.03145,1.10488
16259,1.7,0.3,0.1,0.74428,0.73015,0.79681
4947,0.45,0.6,0.01,1.79143,1.28173,1.29422
18811,2.0,0.7,0.15,2.39853,0.67632,0.74398
18531,2.0,0.5,0.01,1.36024,0.5222,0.71609
15170,1.5,0.6,0.15,1.20722,0.72905,0.85355
5289,0.45,0.8,0.2,2.70624,1.27454,1.63087
16497,1.7,0.5,0.15,1.7944,0.62477,0.79117
14886,1.5,0.3,0.2,2.70347,0.86602,0.88254
11530,1.0,0.6,0.2,0.15512,1.30037,1.28107
4007,0.4,0.5,0.2,2.56664,1.0807,1.33515
17213,1.8,0.5,0.15,2.09427,0.64508,0.76906
14711,1.5,0.2,0.05,1.64397,0.68413,0.83623
6141,0.5,0.8,0.15,1.34401,1.30776,1.30577
13939,1.3,0.8,0.2,2.39906,0.95179,0.98239
2550,0.3,0.8,0.1,1.34495,1.55753,1.56804
12135,1.1,0.5,0.1,2.70423,1.08338,1.08861
3224,0.35,0.6,0.15,1.64052,1.39662,1.38645
4089,0.4,0.6,0.1,2.2558,1.25441,1.3846
5580,0.5,0.4,0.01,2.23189,1.09138,1.18589
11747,1.0,0.8,0.2,1.19902,1.14141,1.1188
4884,0.45,0.5,0.15,1.79803,1.23689,1.24105
17419,1.8,0.7,0.15,1.50665,0.57851,0.76684
815,0.2,0.8,0.3,2.54561,1.64789,2.0577
18296,2.0,0.2,0.2,0.76517,0.6614,0.73577
7723,0.6,0.7,0.01,2.41038,1.18229,1.31902
15412,1.5,0.8,0.2,2.8493,0.98011,0.97211
15496,1.6,0.2,0.15,2.85288,0.85519,0.86368
18174,1.9,0.8,0.1,1.35331,0.55979,0.74611
3767,0.4,0.3,0.3,1.17899,1.12781,1.1458
6837,0.55,0.7,0.01,1.79436,1.24245,1.25328
12224,1.1,0.6,0.1,0.30153,1.15099,1.15116
3862,0.4,0.4,0.15,2.8449,0.91339,1.30906
12089,1.1,0.5,0.01,2.1066,0.99185,1.02646
11305,1.0,0.4,0.15,1.0498,1.08138,1.07537
6090,0.5,0.8,0.05,0.03783,1.35666,1.91419
11935,1.1,0.3,0.15,1.06188,0.97353,1.0045
13808,1.3,0.7,0.15,1.65588,0.81923,0.92383
15975,1.6,0.7,0.05,2.25379,0.74838,0.838
14064,1.4,0.3,0.01,2.24239,0.7992,0.87377
13103,1.2,0.7,0.2,3.00016,1.18939,1.17057
11824,1.1,0.2,0.15,0.14516,1.09864,1.09659
11284,1.0,0.4,0.1,1.0498,1.07737,1.07471
7557,0.6,0.5,0.2,2.68512,1.06956,1.26623
14221,1.4,0.4,0.15,0.60469,0.87268,0.90604
8040,0.65,0.2,0.15,2.65206,0.97772,1.13209
6545,0.55,0.4,0.2,2.11527,1.11219,1.15974
1708,0.25,0.8,0.3,1.04622,1.73096,1.7681
17124,1.8,0.4,0.2,1.3424,0.59372,0.76754
6169,0.5,0.8,0.2,2.39343,1.29974,1.4493
17498,1.8,0.8,0.15,0.74924,0.73326,0.7987
9047,0.7,0.4,0.01,2.54898,1.03017,1.14768
14551,1.4,0.7,0.15,2.84843,0.99867,0.99933
4043,0.4,0.6,0.01,1.64941,1.33244,1.33412
14216,1.4,0.4,0.1,2.99564,0.97886,0.97899
3526,0.35,0.8,0.3,2.83538,1.30112,1.85337
3588,0.4,0.2,0.1,2.74084,0.85382,1.16424
