,a/c,a/t,c/b,phi,F,Mg
7357,0.6,0.4,0.05,1.05638,1.09827,1.14477
18252,2.0,0.2,0.05,0.45819,0.70999,0.7385
13913,1.3,0.8,0.15,1.64445,0.8243,0.92853
3229,0.35,0.6,0.15,2.39525,1.25424,1.45978
8244,0.65,0.4,0.05,1.80995,1.11693,1.12547
12192,1.1,0.6,0.01,1.8011,0.97644,1.02128
10417,0.9,0.3,0.05,0.14366,1.11938,1.17797
16601,1.7,0.6,0.15,1.64119,0.61351,0.79141
3239,0.35,0.6,0.2,0.74979,1.26041,1.45527
18107,1.9,0.7,0.15,0.75509,0.69734,0.76603
14688,1.5,0.2,0.01,1.35493,0.69115,0.83475
784,0.2,0.8,0.2,1.05261,1.87721,1.96781
17921,1.9,0.5,0.15,1.20952,0.58291,0.74354
14578,1.4,0.8,0.01,0.59999,0.91436,0.95396
1679,0.25,0.8,0.15,2.99403,1.28607,2.37106
11266,1.0,0.4,0.05,1.49363,1.05765,1.057
10223,0.8,0.8,0.05,2.55348,1.20194,1.28963
11023,0.9,0.8,0.2,2.84764,1.31375,1.35079
10066,0.8,0.6,0.2,1.04831,1.14007,1.14984
18637,2.0,0.6,0.01,1.51123,0.51103,0.72077
1599,0.25,0.8,0.01,0.43983,1.36012,1.9587
6816,0.55,0.6,0.3,1.80103,1.25445,1.22369
8537,0.65,0.6,0.15,1.66303,1.18839,1.17993
11076,1.0,0.2,0.1,1.35758,1.04433,1.04304
14980,1.5,0.4,0.2,1.04871,0.75172,0.85192
3053,0.35,0.5,0.05,1.1915,1.28141,1.32212
13513,1.3,0.4,0.2,1.49329,0.80974,0.91318
15549,1.6,0.3,0.05,1.33316,0.65465,0.81071
17278,1.8,0.6,0.05,2.40447,0.7149,0.78434
15982,1.6,0.7,0.1,0.15165,0.95361,0.95282
13874,1.3,0.8,0.05,2.1001,0.86747,0.94863
10078,0.8,0.6,0.2,2.85134,1.182,1.28732
9771,0.8,0.4,0.01,0.89617,1.06399,1.10499
18302,2.0,0.2,0.2,1.67577,0.52618,0.73448
3346,0.35,0.7,0.15,1.04568,1.41745,1.49386
4504,0.45,0.2,0.2,1.53466,1.10423,1.09906
17778,1.9,0.4,0.05,1.78703,0.55273,0.74012
2329,0.3,0.6,0.15,2.85156,1.05057,1.63605
247,0.2,0.4,0.01,2.40173,1.13086,1.36119
8245,0.65,0.4,0.05,1.97412,1.1048,1.13014
16376,1.7,0.4,0.1,2.54069,0.76411,0.80825
16707,1.7,0.7,0.15,1.79442,0.62735,0.7922
7145,0.6,0.2,0.15,0.73149,0.99635,1.10846
1639,0.25,0.8,0.1,0.1472,1.27929,2.37403
6714,0.55,0.6,0.01,2.26339,1.17533,1.27783
16909,1.8,0.2,0.2,0.60875,0.74212,0.78732
10180,0.8,0.7,0.2,2.40402,1.17291,1.21765
3788,0.4,0.4,0.01,1.18552,1.17385,1.21147
14150,1.4,0.3,0.2,2.54007,0.87178,0.90303
2796,0.35,0.3,0.05,0.43494,0.87764,1.20779
139,0.2,0.3,0.01,1.93896,1.20651,1.24721
13573,1.3,0.5,0.1,1.05159,0.85031,0.92933
10290,0.9,0.2,0.01,0.02062,1.12458,1.18537
8275,0.65,0.4,0.15,0.13687,1.05382,1.2917
6532,0.55,0.4,0.2,0.12501,1.00205,1.32608
7664,0.6,0.6,0.15,2.9978,1.15471,1.4651
12768,1.2,0.4,0.15,0.0109,1.092,1.08594
10482,0.9,0.3,0.2,0.45289,1.0767,1.11422
17802,1.9,0.4,0.1,2.26095,0.65007,0.74629
12471,1.1,0.8,0.15,2.69664,1.17101,1.16748
5115,0.45,0.7,0.1,1.79531,1.32645,1.3341
8465,0.65,0.6,0.01,0.29548,1.12977,1.36336
5314,0.5,0.2,0.01,0.11614,0.89813,1.25765
519,0.2,0.6,0.1,2.24618,1.4935,1.67365
2118,0.3,0.4,0.3,2.68244,0.94689,1.28581
6986,0.55,0.8,0.05,2.10269,1.26382,1.32623
7641,0.6,0.6,0.1,2.68872,1.11816,1.33663
4610,0.45,0.3,0.1,1.64796,1.13704,1.13628
7192,0.6,0.2,0.3,1.52482,1.09807,1.08622
4181,0.4,0.7,0.05,0.29797,1.15773,1.66563
3132,0.35,0.5,0.3,0.44853,1.03055,1.36811
18605,2.0,0.5,0.15,2.99617,0.80953,0.8071
15462,1.6,0.2,0.1,0.89077,0.72655,0.814
10389,0.9,0.2,0.2,2.24724,1.0499,1.06512
9159,0.7,0.5,0.05,0.44694,1.07236,1.22509
11728,1.0,0.8,0.15,1.49791,1.11128,1.09892
4686,0.45,0.4,0.01,0.41892,0.95747,1.25901
9567,0.8,0.2,0.01,1.80161,1.04892,1.05391
11498,1.0,0.6,0.1,1.64589,1.08885,1.08482
18265,2.0,0.2,0.05,2.41673,0.65724,0.72615
9046,0.7,0.4,0.01,2.40461,1.04379,1.13297
14347,1.4,0.5,0.2,0.60707,0.89099,0.91901
10106,0.8,0.7,0.05,0.74612,1.14908,1.21147
9422,0.7,0.7,0.15,2.09823,1.17768,1.20726
15334,1.5,0.8,0.05,0.60339,0.86704,0.90971
14831,1.5,0.3,0.1,0.74732,0.79509,0.8547
3148,0.35,0.5,0.3,2.84087,0.97936,1.42454
10662,0.9,0.5,0.1,2.24532,1.1021,1.12005
2875,0.35,0.3,0.2,2.86554,0.83479,1.25889
12732,1.2,0.4,0.05,0.90587,0.91819,0.96703
18809,2.0,0.7,0.15,2.09668,0.59945,0.72928
17056,1.8,0.4,0.05,0.59901,0.73398,0.78048
13640,1.3,0.6,0.01,1.65309,0.80601,0.91789
3364,0.35,0.7,0.2,0.60294,1.29388,1.59415
837,0.25,0.2,0.01,2.68831,0.81146,1.15659
12164,1.1,0.5,0.2,0.7491,1.0401,1.04902
7493,0.6,0.5,0.05,2.52533,1.07645,1.23586
5865,0.5,0.6,0.1,0.90556,1.2033,1.30406
6717,0.55,0.6,0.01,2.68222,1.1078,1.36043
18284,2.0,0.2,0.1,2.09418,0.58714,0.7211
7047,0.55,0.8,0.2,1.78937,1.28521,1.2703
12075,1.1,0.5,0.01,0.00861,1.16866,1.16863
12826,1.2,0.5,0.05,2.39296,0.95469,0.99106
64,0.2,0.2,0.15,0.16212,0.62875,1.24172
15518,1.6,0.2,0.2,2.98807,0.90088,0.89965
10515,0.9,0.4,0.01,2.25101,1.06726,1.08829
15453,1.6,0.2,0.05,2.7128,0.81763,0.84044
15636,1.6,0.4,0.01,1.8034,0.65285,0.8095
17636,1.9,0.2,0.2,2.53351,0.71809,0.76428
1739,0.3,0.2,0.01,2.52959,0.90744,1.14802
1980,0.3,0.3,0.3,0.89126,1.07986,1.18687
9170,0.7,0.5,0.05,2.0951,1.11079,1.14854
11053,1.0,0.2,0.05,1.06336,1.04894,1.04862
10361,0.9,0.2,0.15,1.19756,1.04866,1.05246
12804,1.2,0.5,0.01,2.2447,0.91756,0.96614
10212,0.8,0.8,0.05,0.90185,1.17053,1.21346
14950,1.5,0.4,0.1,2.84298,0.89724,0.90612
11398,1.0,0.5,0.1,2.40371,1.1106,1.10717
12410,1.1,0.8,0.01,2.99996,1.28299,1.28404
6598,0.55,0.5,0.05,0.6201,1.07554,1.25484
15177,1.5,0.6,0.15,2.25303,0.78853,0.86581
8069,0.65,0.2,0.3,0.72989,1.01919,1.11017
10903,0.9,0.7,0.2,0.60261,1.19146,1.21194
7144,0.6,0.2,0.15,0.61684,0.97726,1.11955
308,0.2,0.4,0.15,2.10326,1.27762,1.36409
16811,1.7,0.8,0.2,1.65266,0.62376,0.79468
18571,2.0,0.5,0.1,1.05353,0.58941,0.72419
11655,1.0,0.8,0.01,0.00287,1.40379,1.40372
15197,1.5,0.6,0.2,2.10555,0.76632,0.86186
720,0.2,0.8,0.05,0.89771,1.81158,2.03338
4703,0.45,0.4,0.01,2.99979,0.93678,1.37025
8178,0.65,0.3,0.2,1.38476,1.1006,1.09791
15645,1.6,0.4,0.05,0.01445,0.90768,0.90715
18689,2.0,0.6,0.1,2.9956,0.81287,0.81311
15942,1.6,0.7,0.01,0.45162,0.85395,0.88066
15427,1.6,0.2,0.01,1.96917,0.6729,0.80744
15902,1.6,0.6,0.15,0.75132,0.78276,0.84383
8410,0.65,0.5,0.15,1.50912,1.16113,1.1537
4027,0.4,0.5,0.3,2.40793,1.15181,1.30821
8353,0.65,0.5,0.01,2.3799,1.09328,1.19625
5666,0.5,0.4,0.2,2.54382,1.0235,1.21274
9123,0.7,0.4,0.2,1.34685,1.11312,1.10916
6664,0.55,0.5,0.2,1.06075,1.16533,1.20445
5668,0.5,0.4,0.2,2.86608,0.96191,1.28105
14709,1.5,0.2,0.05,1.35493,0.69356,0.83742
16199,1.7,0.2,0.2,1.21673,0.64557,0.79577
18784,2.0,0.7,0.1,1.49811,0.51629,0.72414
1107,0.25,0.4,0.01,2.25925,1.16621,1.31339
18036,1.9,0.6,0.2,2.70395,0.76979,0.7852
15183,1.5,0.6,0.2,0.01059,0.99188,0.97717
14580,1.4,0.8,0.01,0.90122,0.83644,0.91477
18037,1.9,0.6,0.2,2.84756,0.80831,0.80888
14756,1.5,0.2,0.15,2.0969,0.741,0.8451
1154,0.25,0.4,0.1,2.97625,0.81335,1.49008
17029,1.8,0.3,0.2,2.8521,0.81143,0.81718
18599,2.0,0.5,0.15,2.10765,0.59722,0.72566
15273,1.5,0.7,0.15,0.90591,0.78916,0.86837
15642,1.6,0.4,0.01,2.70416,0.82466,0.84886
5105,0.45,0.7,0.1,0.31089,1.16296,1.59593
790,0.2,0.8,0.2,1.94543,1.88866,1.91604
9019,0.7,0.3,0.2,1.50096,1.09036,1.08295
13056,1.2,0.7,0.1,2.24472,0.95559,1.00187
15776,1.6,0.5,0.1,0.74506,0.7719,0.83542
15340,1.5,0.8,0.05,1.49724,0.69307,0.84636
11070,1.0,0.2,0.1,0.44175,1.09252,1.09117
6790,0.55,0.6,0.2,1.05073,1.21148,1.25126
16939,1.8,0.3,0.01,1.94966,0.60341,0.75721
10497,0.9,0.3,0.2,2.70958,1.07923,1.11786
181,0.2,0.3,0.1,1.93896,1.20679,1.24521
4843,0.45,0.5,0.05,1.95509,1.21241,1.24802
6683,0.55,0.5,0.3,0.76315,1.12509,1.22485
15295,1.5,0.7,0.2,1.05429,0.76875,0.86567
7027,0.55,0.8,0.15,1.95503,1.27309,1.29181
3020,0.35,0.4,0.3,2.54371,1.02282,1.25704
17585,1.9,0.2,0.1,1.21794,0.57659,0.74174
5510,0.5,0.3,0.15,1.22718,1.10522,1.12537
4963,0.45,0.6,0.05,1.04737,1.25099,1.32123
18500,2.0,0.4,0.15,3.00723,0.80362,0.80187
3948,0.4,0.5,0.1,0.06277,0.9972,1.56383
14544,1.4,0.7,0.15,1.7954,0.76737,0.88873
14381,1.4,0.6,0.01,2.55176,0.88584,0.92296
11780,1.1,0.2,0.01,2.99588,1.09049,1.09148
588,0.2,0.7,0.01,0.02686,1.0384,2.31189
4853,0.45,0.5,0.1,0.30852,1.00317,1.37973
967,0.25,0.3,0.01,0.10752,0.70942,1.3634
16735,1.7,0.7,0.2,2.85308,0.88558,0.88215
17628,1.9,0.2,0.2,1.33856,0.56533,0.7507
16041,1.6,0.7,0.2,2.69951,0.87622,0.88688
5737,0.5,0.5,0.1,0.57587,1.06969,1.28628
4639,0.45,0.3,0.15,2.89077,0.8842,1.24322
15545,1.6,0.3,0.05,0.74465,0.75862,0.82314
11851,1.1,0.2,0.2,1.04747,0.97275,1.0023
15043,1.5,0.5,0.1,1.04976,0.74824,0.85398
10907,0.9,0.7,0.2,1.19582,1.14095,1.12845
190,0.2,0.3,0.15,0.16212,0.67393,1.32909
14545,1.4,0.7,0.15,1.95203,0.78825,0.89523
8484,0.65,0.6,0.05,0.03735,1.21901,1.50988
13529,1.3,0.5,0.01,0.74782,0.89406,0.94205
5107,0.45,0.7,0.1,0.59988,1.22068,1.4785
969,0.25,0.3,0.01,0.467,0.86469,1.21977
5749,0.5,0.5,0.1,2.42106,1.10451,1.26366
17312,1.8,0.6,0.15,1.20011,0.61588,0.76827
12691,1.2,0.3,0.2,1.04973,0.90604,0.96
18448,2.0,0.4,0.05,1.51715,0.51216,0.7223
14140,1.4,0.3,0.2,1.05192,0.79267,0.8829
15893,1.6,0.6,0.1,2.54822,0.81455,0.85557
5723,0.5,0.5,0.05,1.65338,1.21053,1.21114
9501,0.7,0.8,0.1,1.34991,1.17914,1.18061
5521,0.5,0.3,0.15,2.84647,0.91555,1.2185
12740,1.2,0.4,0.05,2.10081,0.90453,0.96422
4783,0.45,0.4,0.2,2.37994,1.06841,1.21097
15597,1.6,0.3,0.15,2.25782,0.73413,0.81872
5131,0.45,0.7,0.15,1.0516,1.31248,1.37271
14280,1.4,0.5,0.05,0.01123,1.00105,1.00029
12824,1.2,0.5,0.05,2.10665,0.91248,0.97205
2331,0.3,0.6,0.2,0.06718,1.00255,1.78326
18003,1.9,0.6,0.15,0.8937,0.65664,0.75246
17685,1.9,0.3,0.1,0.45544,0.73632,0.76317
7281,0.6,0.3,0.15,2.24636,1.04665,1.12011
2312,0.3,0.6,0.15,0.28934,1.05053,1.63684
3352,0.35,0.7,0.15,1.94559,1.43506,1.46624
2844,0.35,0.3,0.15,1.34934,1.16026,1.16799
254,0.2,0.4,0.05,0.29016,0.83205,1.41702
12488,1.1,0.8,0.2,2.10402,1.04908,1.06434
11158,1.0,0.3,0.05,1.05082,1.05686,1.05637
5679,0.5,0.4,0.3,1.34645,1.17597,1.16068
7875,0.6,0.8,0.1,0.02948,1.38544,1.77908
2005,0.3,0.4,0.01,1.50659,1.26995,1.27111
9116,0.7,0.4,0.2,0.29422,1.04199,1.20751
11548,1.0,0.6,0.2,2.84638,1.24764,1.22912
5368,0.5,0.2,0.1,1.97927,1.06424,1.09693
5811,0.5,0.5,0.3,2.25379,1.1631,1.23555
7193,0.6,0.2,0.3,1.61657,1.09799,1.08614
10070,0.8,0.6,0.2,1.64921,1.14474,1.12837
1734,0.3,0.2,0.01,1.8024,1.11439,1.12815
13964,1.4,0.2,0.01,2.98644,0.94907,0.95185
219,0.2,0.3,0.2,1.33893,1.23774,1.24465
18370,2.0,0.3,0.1,2.39804,0.65468,0.72601
9793,0.8,0.4,0.05,1.05401,1.07529,1.09963
295,0.2,0.4,0.15,0.13613,0.7149,1.45067
14301,1.4,0.5,0.1,0.01123,1.00425,1.00117
16372,1.7,0.4,0.1,1.95934,0.64342,0.78811
18281,2.0,0.2,0.1,1.67577,0.51903,0.7272
14500,1.4,0.7,0.05,1.49433,0.74804,0.8829
18844,2.0,0.8,0.05,1.05276,0.59401,0.73099
32,0.2,0.2,0.05,1.65269,1.15807,1.15958
12957,1.2,0.6,0.15,0.00674,1.14815,1.13858
3238,0.35,0.6,0.2,0.61411,1.20021,1.47417
9185,0.7,0.5,0.1,1.19706,1.12426,1.14069
9484,0.7,0.8,0.05,1.95177,1.1803,1.20059
15811,1.6,0.5,0.15,2.84439,0.87981,0.8855
17632,1.9,0.2,0.2,1.92282,0.58458,0.74943
11901,1.1,0.3,0.05,2.24909,0.97963,1.00678
5519,0.5,0.3,0.15,2.51483,0.98281,1.15928
17800,1.9,0.4,0.1,1.93763,0.57884,0.74034
3653,0.4,0.2,0.3,3.00974,0.83168,1.27244
1200,0.25,0.4,0.3,0.42838,0.92005,1.30716
11789,1.1,0.2,0.05,1.19052,0.95374,0.99288
946,0.25,0.2,0.5,0.13712,0.69517,1.26653
7596,0.6,0.6,0.01,2.25623,1.15993,1.24907
15532,1.6,0.3,0.01,1.94438,0.67092,0.80952
4036,0.4,0.6,0.01,0.58701,1.15111,1.43181
5163,0.45,0.7,0.2,2.70939,1.19247,1.53185
14516,1.4,0.7,0.1,0.74609,0.87275,0.92635
3129,0.35,0.5,0.3,0.07138,0.96531,1.57203
278,0.2,0.4,0.1,0.7393,1.13113,1.35857
18341,2.0,0.3,0.05,1.21815,0.54661,0.71578
5499,0.5,0.3,0.1,2.65912,0.94357,1.17595
13781,1.3,0.7,0.1,0.74761,0.92904,0.97468
17001,1.8,0.3,0.15,1.79846,0.58795,0.76459
4605,0.45,0.3,0.1,0.88255,1.04549,1.14992
14100,1.4,0.3,0.1,1.35887,0.74636,0.87235
16883,1.8,0.2,0.1,2.98785,0.83013,0.8325
15804,1.6,0.5,0.15,1.80079,0.66356,0.81743
9929,0.8,0.5,0.1,2.54793,1.0929,1.16974
958,0.25,0.2,0.5,1.95549,1.11653,1.12089
8070,0.65,0.2,0.3,0.94571,1.05029,1.09742
8492,0.65,0.6,0.05,1.2136,1.16943,1.18993
7329,0.6,0.4,0.01,0.05369,1.04698,1.34989
4745,0.45,0.4,0.1,2.99979,0.94132,1.37352
1516,0.25,0.7,0.1,0.59523,1.36916,1.76334
7619,0.6,0.6,0.05,2.54789,1.12441,1.29843
4468,0.45,0.2,0.1,2.40457,0.97279,1.12178
9278,0.7,0.6,0.05,2.55423,1.11653,1.24396
6013,0.5,0.7,0.15,1.05639,1.27526,1.32772
5581,0.5,0.4,0.01,2.38088,1.05415,1.1945
3368,0.35,0.7,0.2,1.19513,1.44375,1.46403
2193,0.3,0.5,0.15,1.33987,1.3584,1.36554
17284,1.8,0.6,0.1,0.14578,0.87072,0.87069
5839,0.5,0.6,0.05,0.14157,1.11326,1.55028
12387,1.1,0.7,0.2,2.69798,1.1509,1.14019
144,0.2,0.3,0.01,2.67905,0.86932,1.25371
17919,1.9,0.5,0.15,0.90047,0.65205,0.74985
2814,0.35,0.3,0.1,0.09784,0.81886,1.35891
2058,0.3,0.4,0.15,0.08798,0.82633,1.47235
3057,0.35,0.5,0.05,1.79966,1.30097,1.31507
16702,1.7,0.7,0.15,1.04929,0.68283,0.80081
2481,0.3,0.7,0.3,0.44161,1.24137,1.67653
2539,0.3,0.8,0.05,2.8368,1.27686,1.98041
11898,1.1,0.3,0.05,1.80729,0.95215,0.99531
17047,1.8,0.4,0.01,2.40629,0.70271,0.77131
11807,1.1,0.2,0.1,0.73478,0.99083,1.00991
16319,1.7,0.4,0.01,0.29497,0.82827,0.84011
10347,0.9,0.2,0.1,2.24724,1.04212,1.06117
16764,1.7,0.8,0.1,0.8974,0.71929,0.81311
159,0.2,0.3,0.05,1.80193,1.2346,1.25008
3039,0.35,0.5,0.01,2.2483,1.2043,1.33853
3820,0.4,0.4,0.05,2.8449,0.91125,1.31248
18133,1.9,0.7,0.2,1.50254,0.55259,0.74624
17755,1.9,0.4,0.01,1.48425,0.53921,0.73965
12106,1.1,0.5,0.05,1.50399,0.96627,1.01241
3089,0.35,0.5,0.15,0.3,0.97037,1.44252
8815,0.65,0.8,0.2,2.40658,1.23614,1.33322
3079,0.35,0.5,0.1,1.94922,1.27951,1.3169
15865,1.6,0.6,0.05,1.5047,0.64719,0.81649
14529,1.4,0.7,0.1,2.69535,0.94666,0.96538
14156,1.4,0.4,0.01,0.29973,0.92954,0.93971
6204,0.55,0.2,0.01,1.33989,1.07748,1.08754
2094,0.3,0.4,0.2,2.23983,1.1554,1.27409
14350,1.4,0.5,0.2,1.04181,0.80669,0.89252
714,0.2,0.8,0.05,0.02686,1.19915,2.66661
2386,0.3,0.7,0.01,1.94282,1.49959,1.54833
4760,0.45,0.4,0.15,2.11669,1.1323,1.19624
10267,0.8,0.8,0.15,2.84714,1.28365,1.40287
52,0.2,0.2,0.1,1.48854,1.16053,1.16098
8167,0.65,0.3,0.15,2.86783,0.99187,1.19632
17939,1.9,0.6,0.01,0.75039,0.6849,0.75876
14406,1.4,0.6,0.1,0.00946,1.02482,1.02104
1159,0.25,0.4,0.15,0.5883,1.02092,1.31879
452,0.2,0.5,0.3,1.64585,1.54651,1.50541
13682,1.3,0.6,0.1,1.65309,0.81275,0.92217
3712,0.4,0.3,0.1,2.38343,1.01232,1.16956
17913,1.9,0.5,0.15,0.01532,0.83281,0.82706
3470,0.35,0.8,0.15,0.75764,1.43499,1.65774
5409,0.5,0.2,0.2,1.82743,1.08557,1.09367
6284,0.55,0.2,0.2,0.73305,0.98871,1.11105
7554,0.6,0.5,0.2,2.23467,1.13363,1.20031
11840,1.1,0.2,0.15,2.53986,1.00863,1.02032
9420,0.7,0.7,0.15,1.80296,1.18268,1.17921
1175,0.25,0.4,0.15,2.97625,0.814,1.48666
11877,1.1,0.3,0.01,1.80729,0.94913,0.99259
7673,0.6,0.6,0.2,1.21394,1.20394,1.21043
14841,1.5,0.3,0.1,2.23644,0.76258,0.84567
7530,0.6,0.5,0.15,1.79653,1.17125,1.17263
4335,0.4,0.8,0.1,1.35449,1.39811,1.405
4230,0.4,0.7,0.15,1.3508,1.38161,1.3822
3448,0.35,0.8,0.1,0.60879,1.37898,1.71534
10262,0.8,0.8,0.15,2.1001,1.17585,1.1911
13225,1.3,0.2,0.01,2.41304,0.8742,0.91893
7109,0.6,0.2,0.05,1.61657,1.07841,1.07844
2477,0.3,0.7,0.2,2.99031,1.16637,1.9872
7773,0.6,0.7,0.15,0.4492,1.18229,1.40609
14944,1.5,0.4,0.1,1.9542,0.72051,0.84549
10519,0.9,0.4,0.01,2.85418,1.11461,1.1694
9493,0.7,0.8,0.1,0.15013,1.30978,1.54882
14146,1.4,0.3,0.2,1.93813,0.77138,0.87989
15444,1.6,0.2,0.05,1.32453,0.65512,0.81025
6104,0.5,0.8,0.05,2.09074,1.29834,1.36484
3172,0.35,0.6,0.05,0.16347,1.05382,1.704
8942,0.7,0.3,0.01,2.55366,0.99889,1.11379
4417,0.45,0.2,0.01,1.0847,1.0529,1.10445
5891,0.5,0.6,0.15,1.64065,1.26341,1.25402
5616,0.5,0.4,0.1,1.34645,1.15987,1.168
5629,0.5,0.4,0.15,0.1321,0.97184,1.34952
16992,1.8,0.3,0.15,0.45704,0.7657,0.79058
3961,0.4,0.5,0.1,1.95252,1.24443,1.27963
13197,1.2,0.8,0.2,1.34618,0.92145,0.98408
15537,1.6,0.3,0.01,2.70519,0.81693,0.8408
12742,1.2,0.4,0.05,2.40292,0.94527,0.98057
10698,0.9,0.5,0.2,1.35208,1.10336,1.09217
13679,1.3,0.6,0.1,1.19735,0.83818,0.93145
16118,1.6,0.8,0.2,1.64825,0.66597,0.82379
12614,1.2,0.3,0.01,2.09106,0.88892,0.94894
1885,0.3,0.3,0.01,2.4197,1.01191,1.21107
9088,0.7,0.4,0.1,2.40461,1.0487,1.13551
10680,0.9,0.5,0.15,1.80129,1.0987,1.09379
12296,1.1,0.7,0.01,1.65169,0.97428,1.02144
15324,1.5,0.8,0.01,2.2499,0.79152,0.87692
13162,1.2,0.8,0.1,2.39831,1.00473,1.03816
6369,0.55,0.3,0.1,0.89591,1.04696,1.13145
11606,1.0,0.7,0.1,2.0955,1.12364,1.11878
71,0.2,0.2,0.15,1.18428,1.11673,1.15522
17826,1.9,0.4,0.15,2.70594,0.75085,0.77286
18160,1.9,0.8,0.05,2.40282,0.69988,0.772
13841,1.3,0.8,0.01,0.29722,1.06149,1.07094
17146,1.8,0.5,0.01,1.50809,0.57097,0.76434
12779,1.2,0.4,0.15,1.6424,0.87678,0.95459
11480,1.0,0.6,0.05,2.09579,1.11243,1.1114
18584,2.0,0.5,0.1,2.99617,0.80309,0.8038
8320,0.65,0.4,0.3,0.61134,1.05808,1.16925
13100,1.2,0.7,0.2,2.54899,1.03747,1.04535
1021,0.25,0.3,0.1,1.94897,1.1765,1.21516
5870,0.5,0.6,0.1,1.64065,1.25916,1.25565
15255,1.5,0.7,0.1,1.35481,0.70753,0.85084
15949,1.6,0.7,0.01,1.49804,0.6414,0.80962
1355,0.25,0.6,0.01,1.64919,1.54634,1.54851
1883,0.3,0.3,0.01,2.09536,1.11752,1.19228
17998,1.9,0.6,0.15,0.14599,0.84533,0.84152
11844,1.1,0.2,0.2,0.02177,1.13265,1.12708
10120,0.8,0.7,0.05,2.85376,1.21786,1.34515
2403,0.3,0.7,0.05,1.34678,1.52327,1.5392
1221,0.25,0.5,0.01,0.44224,1.00765,1.44843
3190,0.35,0.6,0.05,2.84639,1.05632,1.58453
11423,1.0,0.5,0.15,2.99975,1.24834,1.23967
11616,1.0,0.7,0.15,0.44639,1.23465,1.22264
7272,0.6,0.3,0.15,0.89483,1.0462,1.11973
9111,0.7,0.4,0.15,2.70187,1.0371,1.18057
4631,0.45,0.3,0.15,1.64796,1.13993,1.13653
923,0.25,0.2,0.2,3.00415,0.69108,1.29262
18845,2.0,0.8,0.05,1.20538,0.55695,0.72541
8448,0.65,0.5,0.3,0.90488,1.13971,1.17908
4510,0.45,0.2,0.2,2.40457,0.97558,1.12082
6969,0.55,0.8,0.01,2.68902,1.23097,1.51491
9122,0.7,0.4,0.2,1.19834,1.10327,1.11163
14220,1.4,0.4,0.15,0.45865,0.90253,0.92045
11515,1.0,0.6,0.15,1.04502,1.11584,1.10653
10694,0.9,0.5,0.2,0.75241,1.11386,1.12985
13473,1.3,0.4,0.1,1.79949,0.80883,0.91195
17527,1.8,0.8,0.2,1.95607,0.63233,0.77633
2748,0.35,0.2,0.3,2.71471,0.84247,1.15262
14842,1.5,0.3,0.1,2.39647,0.7948,0.85404
4373,0.4,0.8,0.2,0.75391,1.38425,1.57302
8442,0.65,0.5,0.3,0.04299,1.16783,1.40723
16134,1.7,0.2,0.01,0.8887,0.6882,0.78002
2509,0.3,0.8,0.01,1.50016,1.5468,1.54848
6526,0.55,0.4,0.15,2.38205,1.05889,1.18043
13658,1.3,0.6,0.05,1.19735,0.83422,0.92963
18249,2.0,0.2,0.05,0.02912,0.79806,0.79794
9721,0.8,0.3,0.1,2.85681,1.04659,1.15534
4972,0.45,0.6,0.05,2.40433,1.18612,1.36809
15993,1.6,0.7,0.1,1.7978,0.66272,0.81894
13082,1.2,0.7,0.15,3.00016,1.18057,1.17086
7479,0.6,0.5,0.05,0.45562,1.05925,1.26903
3380,0.35,0.7,0.2,2.99761,1.18163,1.89637
366,0.2,0.5,0.05,1.34314,1.50535,1.52316
18484,2.0,0.4,0.15,0.60852,0.69331,0.73966
18661,2.0,0.6,0.05,1.94743,0.5541,0.71898
7417,0.6,0.4,0.2,0.5856,1.03253,1.18417
1068,0.25,0.3,0.2,2.67374,0.87004,1.21747
18365,2.0,0.3,0.1,1.63849,0.51366,0.72261
8159,0.65,0.3,0.15,1.68158,1.10015,1.09751
17232,1.8,0.5,0.2,1.79855,0.59472,0.76702
2008,0.3,0.4,0.01,1.9488,1.23143,1.27282
16656,1.7,0.7,0.05,0.45002,0.82125,0.84791
16438,1.7,0.5,0.01,2.39674,0.73467,0.80331
373,0.2,0.5,0.05,2.40173,1.2563,1.51105
126,0.2,0.3,0.01,0.03983,0.65017,1.44029
15426,1.6,0.2,0.01,1.81635,0.65175,0.80642
12934,1.2,0.6,0.05,2.84516,1.07618,1.08231
4646,0.45,0.3,0.2,0.75662,1.01332,1.15339
8276,0.65,0.4,0.15,0.3021,1.02866,1.23309
2877,0.35,0.3,0.3,0.09784,0.82285,1.34522
14238,1.4,0.4,0.2,0.01344,0.99806,0.98821
9295,0.7,0.6,0.1,1.95277,1.154,1.17105
1058,0.25,0.3,0.2,1.19175,1.17973,1.21191
11036,1.0,0.2,0.01,1.65261,1.03544,1.03543
10805,0.9,0.6,0.2,1.64893,1.12156,1.10523
11077,1.0,0.2,0.1,1.48864,1.04291,1.04162
13776,1.3,0.7,0.1,0.00695,1.10705,1.10227
11256,1.0,0.4,0.05,0.00963,1.21971,1.21896
6226,0.55,0.2,0.05,1.52492,1.08643,1.08649
15019,1.5,0.5,0.05,0.60519,0.83663,0.87846
10999,0.9,0.8,0.15,2.40081,1.19102,1.21037
6546,0.55,0.4,0.2,2.27238,1.08562,1.17121
11598,1.0,0.7,0.1,0.89815,1.14058,1.13565
12006,1.1,0.4,0.05,2.25656,0.99295,1.01995
3703,0.4,0.3,0.1,1.03086,1.08898,1.15736
