,a/c,a/t,c/b,phi,F,Mg
245,0.6,0.2,0.2,1.37445,1.104,1.10534
20,0.2,0.4,0.2,0.58905,1.009,1.31187
352,1.0,0.4,0.4,2.35619,1.147,1.1014
441,1.0,0.8,0.4,3.14159,1.579,1.45251
203,0.4,0.4,0.2,3.14159,0.896,1.40269
160,0.2,0.8,0.8,1.37445,2.253,1.49485
27,0.2,0.4,0.2,1.9635,1.297,1.33375
493,2.0,0.4,0.2,0.0,0.848,0.83962
389,1.0,0.6,0.4,2.94524,1.403,1.31903
271,0.6,0.4,0.2,3.14159,1.015,1.29741
97,0.2,0.6,0.6,2.35619,1.522,1.54716
462,1.0,0.8,0.8,0.58905,1.801,1.18388
468,1.0,0.8,0.8,1.76715,1.33,0.87427
317,1.0,0.2,0.2,2.15984,1.058,1.05277
506,2.0,0.4,0.2,2.55254,0.708,0.7487
494,2.0,0.4,0.2,0.19635,0.818,0.8158
104,0.2,0.8,0.2,0.3927,1.345,2.02238
344,1.0,0.4,0.4,0.7854,1.147,1.1014
414,1.0,0.8,0.2,1.1781,1.134,1.11154
130,0.2,0.8,0.4,2.15984,1.816,1.82393
455,1.0,0.8,0.6,2.55254,1.449,1.18184
73,0.2,0.6,0.4,0.98175,1.54,1.58079
35,0.2,0.4,0.4,0.19635,0.794,1.44956
312,1.0,0.2,0.2,1.1781,1.053,1.0478
417,1.0,0.8,0.2,1.76715,1.118,1.09586
81,0.2,0.6,0.4,2.55254,1.278,1.57777
247,0.6,0.2,0.2,1.76715,1.104,1.10534
113,0.2,0.8,0.2,2.15984,1.759,1.88249
510,2.0,0.6,0.2,0.0,0.866,0.85315
283,0.6,0.6,0.2,2.15984,1.202,1.25114
424,1.0,0.8,0.2,3.14159,1.464,1.435
500,2.0,0.4,0.2,1.37445,0.519,0.70734
280,0.6,0.6,0.2,1.5708,1.23,1.21174
213,0.4,0.6,0.2,1.76715,1.363,1.35372
194,0.4,0.4,0.2,1.37445,1.214,1.2118
5,0.2,0.2,0.2,0.98175,1.072,1.16466
115,0.2,0.8,0.2,2.55254,1.504,1.93586
105,0.2,0.8,0.2,0.58905,1.504,1.93586
1,0.2,0.2,0.2,0.19635,0.65,1.22969
276,0.6,0.6,0.2,0.7854,1.182,1.28232
145,0.2,0.8,0.6,1.76715,2.017,1.66049
479,2.0,0.2,0.2,0.58905,0.692,0.73543
345,1.0,0.4,0.4,0.98175,1.127,1.0822
445,1.0,0.8,0.6,0.58905,1.449,1.18184
137,0.2,0.8,0.6,0.19635,1.474,2.2857
282,0.6,0.6,0.2,1.9635,1.218,1.22981
537,2.0,0.8,0.2,1.9635,0.554,0.70113
217,0.4,0.6,0.2,2.55254,1.179,1.44343
92,0.2,0.6,0.6,1.37445,1.754,1.52824
376,1.0,0.6,0.4,0.3927,1.326,1.24664
67,0.2,0.6,0.2,3.14159,0.899,1.98039
486,2.0,0.2,0.2,1.9635,0.552,0.70919
114,0.2,0.8,0.2,2.35619,1.657,1.91264
310,1.0,0.2,0.2,0.7854,1.067,1.06173
185,0.4,0.2,0.2,2.94524,0.781,1.17406
297,0.6,0.8,0.2,1.5708,1.264,1.23897
434,1.0,0.8,0.4,1.76715,1.137,1.04592
525,2.0,0.6,0.2,2.94524,0.833,0.8266
341,1.0,0.4,0.4,0.19635,1.266,1.21567
330,1.0,0.4,0.2,1.37445,1.066,1.05546
475,1.0,0.8,0.8,3.14159,2.552,1.67755
95,0.2,0.6,0.6,1.9635,1.712,1.53488
112,0.2,0.8,0.2,1.9635,1.824,1.85689
167,0.2,0.8,0.8,2.74889,1.943,1.95927
198,0.4,0.4,0.2,2.15984,1.136,1.21241
238,0.6,0.2,0.2,0.0,0.916,1.17671
223,0.4,0.8,0.2,0.3927,1.297,1.74301
119,0.2,0.8,0.4,0.0,1.268,2.6082
122,0.2,0.8,0.4,0.58905,1.572,1.8989
298,0.6,0.8,0.2,1.76715,1.264,1.24663
278,0.6,0.6,0.2,1.1781,1.218,1.22981
52,0.2,0.6,0.2,0.19635,0.953,1.78497
94,0.2,0.6,0.6,1.76715,1.754,1.52824
241,0.6,0.2,0.2,0.58905,0.982,1.13082
379,1.0,0.6,0.4,0.98175,1.195,1.12348
377,1.0,0.6,0.4,0.58905,1.272,1.19587
452,1.0,0.8,0.6,1.9635,1.232,1.00485
474,1.0,0.8,0.8,2.94524,2.334,1.53425
149,0.2,0.8,0.6,2.55254,1.752,1.87646
467,1.0,0.8,0.8,1.5708,1.308,0.85981
516,2.0,0.6,0.2,1.1781,0.56,0.71231
368,1.0,0.6,0.2,2.15984,1.153,1.13589
69,0.2,0.6,0.4,0.19635,0.993,1.77492
158,0.2,0.8,0.8,0.98175,2.271,1.62992
541,2.0,0.8,0.2,2.74889,0.775,0.78207
216,0.4,0.6,0.2,2.35619,1.247,1.40772
89,0.2,0.6,0.6,0.7854,1.522,1.54716
491,2.0,0.2,0.2,2.94524,0.794,0.79582
450,1.0,0.8,0.6,1.5708,1.185,0.96651
150,0.2,0.8,0.6,2.74889,1.595,1.99562
0,0.2,0.2,0.2,0.0,0.617,1.37284
286,0.6,0.6,0.2,2.74889,1.142,1.3708
101,0.2,0.6,0.6,3.14159,1.037,2.00164
337,1.0,0.4,0.2,2.74889,1.157,1.14556
419,1.0,0.8,0.2,2.15984,1.15,1.12722
504,2.0,0.4,0.2,2.15984,0.609,0.72386
267,0.6,0.4,0.2,2.35619,1.062,1.15793
342,1.0,0.4,0.4,0.3927,1.21,1.1619
25,0.2,0.4,0.2,1.5708,1.359,1.34556
461,1.0,0.8,0.8,0.3927,2.031,1.33507
538,2.0,0.8,0.2,2.15984,0.607,0.71425
