a/c,a/t,c/b,phi,F,Mg
   1.20000,   0.70000,   0.20000,   2.77169,   1.08251,   1.07465
   1.50000,   0.60000,   0.20000,   1.88504,   0.72467,   0.85005
   0.70000,   0.60000,   0.20000,   1.74136,   1.21101,   1.19746
   0.90000,   0.70000,   0.20000,   1.68912,   1.16545,   1.14602
   0.35000,   0.60000,   0.20000,   1.90496,   1.40896,   1.42289
   1.00000,   0.40000,   0.20000,   1.63057,   1.08023,   1.06955
   1.00000,   0.70000,   0.20000,   2.57696,   1.19946,   1.17868
   0.25000,   0.40000,   0.20000,   1.66517,   1.33268,   1.32226
   1.10000,   0.70000,   0.20000,   1.43555,   1.00718,   1.03705
   1.20000,   0.20000,   0.20000,   2.44913,   0.93408,   0.96090
   0.70000,   0.40000,   0.20000,   1.78178,   1.13760,   1.13275
   1.40000,   0.40000,   0.20000,   2.57321,   0.87785,   0.90307
   1.30000,   0.30000,   0.20000,   2.58553,   0.91420,   0.93524
   0.30000,   0.40000,   0.20000,   1.60913,   1.29974,   1.28732
   1.20000,   0.30000,   0.20000,   0.67672,   0.94492,   0.96833
   1.90000,   0.40000,   0.20000,   0.44973,   0.75327,   0.77373
   2.00000,   0.50000,   0.20000,   2.69223,   0.73802,   0.75724
   0.40000,   0.70000,   0.20000,   1.15228,   1.42203,   1.45056
   1.90000,   0.60000,   0.20000,   2.57811,   0.73973,   0.77208
   1.80000,   0.60000,   0.20000,   1.72883,   0.58852,   0.76744
   0.90000,   0.30000,   0.20000,   0.85980,   1.06567,   1.08032
   0.80000,   0.40000,   0.20000,   1.80847,   1.11473,   1.10928
   0.55000,   0.50000,   0.20000,   1.21691,   1.21074,   1.22221
   1.50000,   0.80000,   0.20000,   1.45780,   0.71474,   0.85466
   2.00000,   0.60000,   0.20000,   2.64256,   0.73302,   0.75698
   0.60000,   0.40000,   0.20000,   0.70297,   1.06299,   1.18253
   0.40000,   0.50000,   0.20000,   1.83645,   1.29865,   1.30186
   0.70000,   0.80000,   0.20000,   1.77873,   1.27423,   1.25587
   0.35000,   0.30000,   0.20000,   1.14012,   1.15286,   1.19280
   0.55000,   0.40000,   0.20000,   1.63933,   1.18620,   1.17543
   2.00000,   0.70000,   0.20000,   1.10409,   0.58924,   0.72727
   1.80000,   0.60000,   0.20000,   1.06190,   0.64769,   0.76951
   0.90000,   0.30000,   0.20000,   2.05110,   1.07072,   1.07385
   0.70000,   0.70000,   0.20000,   1.71907,   1.24737,   1.22919
   0.60000,   0.50000,   0.20000,   1.75501,   1.20889,   1.20044
   0.60000,   0.70000,   0.20000,   2.48614,   1.19694,   1.33767
   0.55000,   0.80000,   0.20000,   0.19066,   1.27103,   1.64683
   0.50000,   0.80000,   0.20000,   0.95358,   1.34495,   1.41720
   0.80000,   0.70000,   0.20000,   0.84179,   1.17377,   1.20473
   0.40000,   0.80000,   0.20000,   0.84074,   1.40162,   1.54430
   0.20000,   0.50000,   0.20000,   1.82581,   1.49044,   1.49540
   1.90000,   0.40000,   0.20000,   3.12395,   0.84412,   0.83582
   0.45000,   0.70000,   0.20000,   1.73042,   1.41508,   1.39766
   1.20000,   0.60000,   0.20000,   3.09062,   1.16756,   1.15046
   0.60000,   0.60000,   0.20000,   1.75501,   1.25520,   1.24330
   1.70000,   0.50000,   0.20000,   0.52672,   0.79338,   0.81977
   1.00000,   0.60000,   0.20000,   2.83481,   1.23823,   1.21985
   0.60000,   0.80000,   0.20000,   0.26110,   1.26356,   1.55481
   0.70000,   0.50000,   0.20000,   1.69956,   1.17628,   1.16419
   1.80000,   0.80000,   0.20000,   2.38196,   0.72659,   0.78657
   0.80000,   0.30000,   0.20000,   1.39855,   1.09321,   1.08800
   0.60000,   0.60000,   0.20000,   1.85743,   1.24596,   1.24369
   1.00000,   0.20000,   0.20000,   2.30686,   1.06114,   1.05590
   1.10000,   0.80000,   0.20000,   2.16909,   1.04227,   1.05436
   0.35000,   0.70000,   0.20000,   1.19513,   1.48795,   1.50886
   1.00000,   0.70000,   0.20000,   0.69159,   1.17334,   1.15301
   1.30000,   0.40000,   0.20000,   1.62604,   0.81029,   0.91426
   1.40000,   0.20000,   0.20000,   0.43209,   0.88804,   0.90372
   0.25000,   0.70000,   0.20000,   0.79381,   1.48759,   1.70596
   1.70000,   0.20000,   0.20000,   0.05690,   0.86543,   0.86161
   1.00000,   0.80000,   0.20000,   2.84640,   1.33544,   1.30899
   1.60000,   0.70000,   0.20000,   1.88668,   0.68463,   0.82167
   0.65000,   0.70000,   0.20000,   0.87556,   1.21139,   1.27368
   0.35000,   0.50000,   0.20000,   2.05309,   1.28772,   1.34009
   0.40000,   0.40000,   0.20000,   0.42952,   0.97543,   1.29888
   1.50000,   0.70000,   0.20000,   1.71335,   0.71270,   0.85243
   0.55000,   0.50000,   0.20000,   1.81037,   1.22448,   1.22152
   1.10000,   0.40000,   0.20000,   1.71322,   0.97179,   1.00808
   1.10000,   0.40000,   0.20000,   0.86641,   0.99993,   1.01668
   1.30000,   0.70000,   0.20000,   0.74761,   0.91865,   0.95119
   1.90000,   0.70000,   0.20000,   2.74468,   0.79083,   0.79967
   0.70000,   0.60000,   0.20000,   0.88049,   1.16063,   1.21158
   1.00000,   0.80000,   0.20000,   1.47222,   1.14838,   1.12563
   1.00000,   0.60000,   0.20000,   0.49046,   1.18594,   1.16834
   1.50000,   0.30000,   0.20000,   0.34227,   0.87891,   0.88660
   0.80000,   0.30000,   0.20000,   2.55210,   1.04691,   1.11618
   0.60000,   0.70000,   0.20000,   1.90000,   1.28571,   1.28550
   0.60000,   0.60000,   0.20000,   0.88499,   1.18529,   1.25758
   1.50000,   0.30000,   0.20000,   3.01886,   0.92501,   0.92008
   0.35000,   0.60000,   0.20000,   1.01817,   1.35357,   1.42902
