a/c,a/t,c/b,phi,F,Mg
0.2,0.22857,0.2,1.07712,1.13611,1.20039
0.2,0.22857,0.2,1.16688,1.15865,1.19928
0.2,0.22857,0.2,1.25664,1.17688,1.19871
0.2,0.22857,0.2,1.3464,1.19067,1.19846
0.2,0.22857,0.2,1.43616,1.19994,1.19838
0.2,0.22857,0.2,1.52592,1.20459,1.19837
0.2,0.22857,0.2,1.61568,1.20459,1.19837
0.2,0.22857,0.2,1.70544,1.19994,1.19838
0.2,0.22857,0.2,1.7952,1.19067,1.19846
0.2,0.22857,0.2,1.88496,1.17688,1.19871
0.2,0.22857,0.2,1.97472,1.15865,1.19928
0.2,0.22857,0.2,2.06448,1.13611,1.20039
0.2,0.22857,0.2,2.15423,1.10933,1.20225
0.2,0.22857,0.2,2.24399,1.07838,1.20511
0.2,0.22857,0.2,2.33375,1.04324,1.20926
0.2,0.22857,0.2,2.42351,1.00382,1.21495
0.2,0.22857,0.2,2.51327,0.95991,1.22245
0.2,0.22857,0.2,2.60303,0.91121,1.232
0.2,0.22857,0.2,2.69279,0.85737,1.2438
0.2,0.22857,0.2,2.78255,0.7983,1.258
0.2,0.22857,0.2,2.87231,0.73481,1.27473
0.2,0.22857,0.2,2.96207,0.67083,1.29401
0.2,0.22857,0.2,3.05183,0.61848,1.31584
0.2,0.22857,0.2,3.14159,0.60272,1.34012
0.2,0.25429,0.2,0,0.61557,1.36782
0.2,0.25429,0.2,0.08976,0.63128,1.34223
0.2,0.25429,0.2,0.17952,0.68433,1.31922
0.2,0.25429,0.2,0.26928,0.74922,1.29889
0.2,0.25429,0.2,0.35904,0.81358,1.28126
0.2,0.25429,0.2,0.4488,0.87344,1.26629
0.2,0.25429,0.2,0.53856,0.92796,1.25385
0.2,0.25429,0.2,0.62832,0.97729,1.24379
0.2,0.25429,0.2,0.71808,1.02177,1.23588
0.2,0.25429,0.2,0.80784,1.06171,1.22988
0.2,0.25429,0.2,0.8976,1.09733,1.22551
0.2,0.25429,0.2,0.98736,1.12873,1.22249
0.2,0.25429,0.2,1.07712,1.15591,1.22053
0.2,0.25429,0.2,1.16688,1.17881,1.21937
0.2,0.25429,0.2,1.25664,1.19733,1.21876
0.2,0.25429,0.2,1.3464,1.21136,1.2185
0.2,0.25429,0.2,1.43616,1.22078,1.21841
0.2,0.25429,0.2,1.52592,1.22551,1.2184
0.2,0.25429,0.2,1.61568,1.22551,1.2184
0.2,0.25429,0.2,1.70544,1.22078,1.21841
0.2,0.25429,0.2,1.7952,1.21136,1.2185
0.2,0.25429,0.2,1.88496,1.19733,1.21876
0.2,0.25429,0.2,1.97472,1.17881,1.21937
0.2,0.25429,0.2,2.06448,1.15591,1.22053
0.2,0.25429,0.2,2.15423,1.12873,1.22249
0.2,0.25429,0.2,2.24399,1.09733,1.22551
0.2,0.25429,0.2,2.33375,1.06171,1.22988
0.2,0.25429,0.2,2.42351,1.02177,1.23588
0.2,0.25429,0.2,2.51327,0.97729,1.24379
0.2,0.25429,0.2,2.60303,0.92796,1.25385
0.2,0.25429,0.2,2.69279,0.87344,1.26629
0.2,0.25429,0.2,2.78255,0.81358,1.28126
0.2,0.25429,0.2,2.87231,0.74922,1.29889
0.2,0.25429,0.2,2.96207,0.68433,1.31922
0.2,0.25429,0.2,3.05183,0.63128,1.34223
0.2,0.25429,0.2,3.14159,0.61557,1.36782
0.2,0.28,0.2,0,0.62975,1.39842
0.2,0.28,0.2,0.08976,0.64539,1.37135
0.2,0.28,0.2,0.17952,0.6992,1.34701
0.2,0.28,0.2,0.26928,0.76506,1.32551
0.2,0.28,0.2,0.35904,0.83036,1.30685
0.2,0.28,0.2,0.4488,0.89106,1.29101
0.2,0.28,0.2,0.53856,0.94633,1.27786
0.2,0.28,0.2,0.62832,0.99633,1.26721
0.2,0.28,0.2,0.71808,1.04142,1.25885
0.2,0.28,0.2,0.80784,1.08193,1.2525
0.2,0.28,0.2,0.8976,1.11807,1.24788
0.2,0.28,0.2,0.98736,1.14995,1.24468
0.2,0.28,0.2,1.07712,1.17757,1.24261
0.2,0.28,0.2,1.16688,1.20086,1.24138
0.2,0.28,0.2,1.25664,1.2197,1.24073
0.2,0.28,0.2,1.3464,1.23398,1.24045
0.2,0.28,0.2,1.43616,1.24357,1.24037
0.2,0.28,0.2,1.52592,1.24839,1.24035
0.2,0.28,0.2,1.61568,1.24839,1.24035
0.2,0.28,0.2,1.70544,1.24357,1.24037
0.2,0.28,0.2,1.7952,1.23398,1.24045
0.2,0.28,0.2,1.88496,1.2197,1.24073
0.2,0.28,0.2,1.97472,1.20086,1.24138
0.2,0.28,0.2,2.06448,1.17757,1.24261
