a/c,a/t,c/b,phi,F,Mg
0.2,0.8,0.8,1.76715,2.253,1.49485
0.2,0.8,0.8,1.9635,2.278,1.55524
0.2,0.8,0.8,2.15984,2.271,1.62992
0.2,0.8,0.8,2.35619,2.216,1.71539
0.2,0.8,0.8,2.55254,2.092,1.80581
0.2,0.8,0.8,2.74889,1.943,1.95927
0.2,0.8,0.8,2.94524,1.833,2.29081
0.2,0.8,0.8,3.14159,1.854,2.72514
0.4,0.2,0.2,0,0.767,1.20674
0.4,0.2,0.2,0.19635,0.781,1.17406
0.4,0.2,0.2,0.3927,0.842,1.14871
0.4,0.2,0.2,0.58905,0.923,1.14137
0.4,0.2,0.2,0.7854,0.998,1.13795
0.4,0.2,0.2,0.98175,1.058,1.1348
0.4,0.2,0.2,1.1781,1.103,1.13417
0.4,0.2,0.2,1.37445,1.129,1.13259
0.4,0.2,0.2,1.5708,1.138,1.13238
0.4,0.2,0.2,1.76715,1.129,1.13259
0.4,0.2,0.2,1.9635,1.103,1.13417
0.4,0.2,0.2,2.15984,1.058,1.1348
0.4,0.2,0.2,2.35619,0.998,1.13795
0.4,0.2,0.2,2.55254,0.923,1.14137
0.4,0.2,0.2,2.74889,0.842,1.14871
0.4,0.2,0.2,2.94524,0.781,1.17406
0.4,0.2,0.2,3.14159,0.767,1.20674
0.4,0.4,0.2,0,0.896,1.40269
0.4,0.4,0.2,0.19635,0.902,1.34922
0.4,0.4,0.2,0.3927,0.946,1.28417
0.4,0.4,0.2,0.58905,1.01,1.24275
0.4,0.4,0.2,0.7854,1.075,1.21965
0.4,0.4,0.2,0.98175,1.136,1.21241
0.4,0.4,0.2,1.1781,1.184,1.2114
0.4,0.4,0.2,1.37445,1.214,1.2118
0.4,0.4,0.2,1.5708,1.225,1.21289
0.4,0.4,0.2,1.76715,1.214,1.2118
0.4,0.4,0.2,1.9635,1.184,1.2114
0.4,0.4,0.2,2.15984,1.136,1.21241
0.4,0.4,0.2,2.35619,1.075,1.21965
0.4,0.4,0.2,2.55254,1.01,1.24275
0.4,0.4,0.2,2.74889,0.946,1.28417
0.4,0.4,0.2,2.94524,0.902,1.34922
0.4,0.4,0.2,3.14159,0.896,1.40269
0.4,0.6,0.2,0,1.08,1.68229
0.4,0.6,0.2,0.19635,1.075,1.59995
0.4,0.6,0.2,0.3927,1.113,1.50331
0.4,0.6,0.2,0.58905,1.179,1.44343
0.4,0.6,0.2,0.7854,1.247,1.40772
0.4,0.6,0.2,0.98175,1.302,1.38262
0.4,0.6,0.2,1.1781,1.341,1.36517
0.4,0.6,0.2,1.37445,1.363,1.35372
0.4,0.6,0.2,1.5708,1.37,1.34967
0.4,0.6,0.2,1.76715,1.363,1.35372
0.4,0.6,0.2,1.9635,1.341,1.36517
0.4,0.6,0.2,2.15984,1.302,1.38262
0.4,0.6,0.2,2.35619,1.247,1.40772
0.4,0.6,0.2,2.55254,1.179,1.44343
0.4,0.6,0.2,2.74889,1.113,1.50331
0.4,0.6,0.2,2.94524,1.075,1.59995
0.4,0.6,0.2,3.14159,1.08,1.68229
0.4,0.8,0.2,0,1.318,2.04267
0.4,0.8,0.2,0.19635,1.285,1.90286
0.4,0.8,0.2,0.3927,1.297,1.74301
0.4,0.8,0.2,0.58905,1.327,1.61644
0.4,0.8,0.2,0.7854,1.374,1.54327
0.4,0.8,0.2,0.98175,1.408,1.48765
0.4,0.8,0.2,1.1781,1.437,1.45553
0.4,0.8,0.2,1.37445,1.446,1.42892
0.4,0.8,0.2,1.5708,1.447,1.41834
0.4,0.8,0.2,1.76715,1.446,1.42892
0.4,0.8,0.2,1.9635,1.437,1.45553
0.4,0.8,0.2,2.15984,1.408,1.48765
0.4,0.8,0.2,2.35619,1.374,1.54327
0.4,0.8,0.2,2.55254,1.327,1.61644
0.4,0.8,0.2,2.74889,1.297,1.74301
0.4,0.8,0.2,2.94524,1.285,1.90286
0.4,0.8,0.2,3.14159,1.318,2.04267
0.6,0.2,0.2,0,0.916,1.17671
0.6,0.2,0.2,0.19635,0.919,1.1614
0.6,0.2,0.2,0.3927,0.942,1.1421
0.6,0.2,0.2,0.58905,0.982,1.13082
0.6,0.2,0.2,0.7854,1.024,1.12208
0.6,0.2,0.2,0.98175,1.059,1.11337
0.6,0.2,0.2,1.1781,1.087,1.10857
0.6,0.2,0.2,1.37445,1.104,1.10534
0.6,0.2,0.2,1.5708,1.11,1.10452
0.6,0.2,0.2,1.76715,1.104,1.10534
0.6,0.2,0.2,1.9635,1.087,1.10857
0.6,0.2,0.2,2.15984,1.059,1.11337
0.6,0.2,0.2,2.35619,1.024,1.12208
0.6,0.2,0.2,2.55254,0.982,1.13082
0.6,0.2,0.2,2.74889,0.942,1.1421
0.6,0.2,0.2,2.94524,0.919,1.1614
0.6,0.2,0.2,3.14159,0.916,1.17671
0.6,0.4,0.2,0,1.015,1.29741
0.6,0.4,0.2,0.19635,1.004,1.26251
0.6,0.4,0.2,0.3927,1.009,1.21724
0.6,0.4,0.2,0.58905,1.033,1.18363
0.6,0.4,0.2,0.7854,1.062,1.15793
0.6,0.4,0.2,0.98175,1.093,1.1434
0.6,0.4,0.2,1.1781,1.121,1.13756
0.6,0.4,0.2,1.37445,1.139,1.13471
0.6,0.4,0.2,1.5708,1.145,1.13368
0.6,0.4,0.2,1.76715,1.139,1.13471
0.6,0.4,0.2,1.9635,1.121,1.13756
0.6,0.4,0.2,2.15984,1.093,1.1434
0.6,0.4,0.2,2.35619,1.062,1.15793
0.6,0.4,0.2,2.55254,1.033,1.18363
0.6,0.4,0.2,2.74889,1.009,1.21724
0.6,0.4,0.2,2.94524,1.004,1.26251
0.6,0.4,0.2,3.14159,1.015,1.29741
0.6,0.6,0.2,0,1.172,1.49059
0.6,0.6,0.2,0.19635,1.149,1.43761
0.6,0.6,0.2,0.3927,1.142,1.3708
0.6,0.6,0.2,0.58905,1.16,1.3225
0.6,0.6,0.2,0.7854,1.182,1.28232
0.6,0.6,0.2,0.98175,1.202,1.25114
0.6,0.6,0.2,1.1781,1.218,1.22981
0.6,0.6,0.2,1.37445,1.227,1.21626
0.6,0.6,0.2,1.5708,1.23,1.21174
0.6,0.6,0.2,1.76715,1.227,1.21626
0.6,0.6,0.2,1.9635,1.218,1.22981
0.6,0.6,0.2,2.15984,1.202,1.25114
0.6,0.6,0.2,2.35619,1.182,1.28232
0.6,0.6,0.2,2.55254,1.16,1.3225
0.6,0.6,0.2,2.74889,1.142,1.3708
0.6,0.6,0.2,2.94524,1.149,1.43761
0.6,0.6,0.2,3.14159,1.172,1.49059
0.6,0.8,0.2,0,1.353,1.71212
0.6,0.8,0.2,0.19635,1.304,1.62333
0.6,0.8,0.2,0.3927,1.265,1.51079
0.6,0.8,0.2,0.58905,1.24,1.40658
0.6,0.8,0.2,0.7854,1.243,1.3417
0.6,0.8,0.2,0.98175,1.245,1.28936
0.6,0.8,0.2,1.1781,1.26,1.26581
0.6,0.8,0.2,1.37445,1.264,1.24663
0.6,0.8,0.2,1.5708,1.264,1.23897
0.6,0.8,0.2,1.76715,1.264,1.24663
0.6,0.8,0.2,1.9635,1.26,1.26581
0.6,0.8,0.2,2.15984,1.245,1.28936
0.6,0.8,0.2,2.35619,1.243,1.3417
0.6,0.8,0.2,2.55254,1.24,1.40658
0.6,0.8,0.2,2.74889,1.265,1.51079
0.6,0.8,0.2,2.94524,1.304,1.62333
0.6,0.8,0.2,3.14159,1.353,1.71212
1,0.2,0.2,0,1.174,1.1682
1,0.2,0.2,0.19635,1.145,1.13934
1,0.2,0.2,0.3927,1.105,1.09954
1,0.2,0.2,0.58905,1.082,1.07666
1,0.2,0.2,0.7854,1.067,1.06173
1,0.2,0.2,0.98175,1.058,1.05277
1,0.2,0.2,1.1781,1.053,1.0478
1,0.2,0.2,1.37445,1.05,1.04481
1,0.2,0.2,1.5708,1.049,1.04382
1,0.2,0.2,1.76715,1.05,1.04481
1,0.2,0.2,1.9635,1.053,1.0478
1,0.2,0.2,2.15984,1.058,1.05277
1,0.2,0.2,2.35619,1.067,1.06173
1,0.2,0.2,2.55254,1.082,1.07666
1,0.2,0.2,2.74889,1.105,1.09954
1,0.2,0.2,2.94524,1.145,1.13934
1,0.2,0.2,3.14159,1.174,1.1682
1,0.4,0.2,0,1.229,1.21685
1,0.4,0.2,0.19635,1.206,1.19408
1,0.4,0.2,0.3927,1.157,1.14556
1,0.4,0.2,0.58905,1.126,1.11487
1,0.4,0.2,0.7854,1.104,1.09309
1,0.4,0.2,0.98175,1.088,1.07724
1,0.4,0.2,1.1781,1.075,1.06437
1,0.4,0.2,1.37445,1.066,1.05546
1,0.4,0.2,1.5708,1.062,1.0515
1,0.4,0.2,1.76715,1.066,1.05546
1,0.4,0.2,1.9635,1.075,1.06437
1,0.4,0.2,2.15984,1.088,1.07724
1,0.4,0.2,2.35619,1.104,1.09309
1,0.4,0.2,2.55254,1.126,1.11487
1,0.4,0.2,2.74889,1.157,1.14556
1,0.4,0.2,2.94524,1.206,1.19408
1,0.4,0.2,3.14159,1.229,1.21685
1,0.4,0.4,0,1.293,1.2416
1,0.4,0.4,0.19635,1.266,1.21567
1,0.4,0.4,0.3927,1.21,1.1619
1,0.4,0.4,0.58905,1.174,1.12733
1,0.4,0.4,0.7854,1.147,1.1014
1,0.4,0.4,0.98175,1.127,1.0822
1,0.4,0.4,1.1781,1.11,1.06588
1,0.4,0.4,1.37445,1.099,1.05531
1,0.4,0.4,1.5708,1.095,1.05147
1,0.4,0.4,1.76715,1.099,1.05531
1,0.4,0.4,1.9635,1.11,1.06588
1,0.4,0.4,2.15984,1.127,1.0822
1,0.4,0.4,2.35619,1.147,1.1014
1,0.4,0.4,2.55254,1.174,1.12733
1,0.4,0.4,2.74889,1.21,1.1619
1,0.4,0.4,2.94524,1.266,1.21567
1,0.4,0.4,3.14159,1.293,1.2416
1,0.6,0.2,0,1.355,1.33489
1,0.6,0.2,0.19635,1.321,1.30139
1,0.6,0.2,0.3927,1.256,1.23736
1,0.6,0.2,0.58905,1.214,1.19598
1,0.6,0.2,0.7854,1.181,1.16347
1,0.6,0.2,0.98175,1.153,1.13589
1,0.6,0.2,1.1781,1.129,1.11224
1,0.6,0.2,1.37445,1.113,1.09648
1,0.6,0.2,1.5708,1.107,1.09057
1,0.6,0.2,1.76715,1.113,1.09648
1,0.6,0.2,1.9635,1.129,1.11224
1,0.6,0.2,2.15984,1.153,1.13589
1,0.6,0.2,2.35619,1.181,1.16347
1,0.6,0.2,2.55254,1.214,1.19598
1,0.6,0.2,2.74889,1.256,1.23736
1,0.6,0.2,2.94524,1.321,1.30139
1,0.6,0.2,3.14159,1.355,1.33489
1,0.6,0.4,0,1.445,1.35852
1,0.6,0.4,0.19635,1.403,1.31903
1,0.6,0.4,0.3927,1.326,1.24664
1,0.6,0.4,0.58905,1.272,1.19587
1,0.6,0.4,0.7854,1.231,1.15733
1,0.6,0.4,0.98175,1.195,1.12348
1,0.6,0.4,1.1781,1.165,1.09528
1,0.6,0.4,1.37445,1.145,1.07647
1,0.6,0.4,1.5708,1.138,1.06989
1,0.6,0.4,1.76715,1.145,1.07647
1,0.6,0.4,1.9635,1.165,1.09528
1,0.6,0.4,2.15984,1.195,1.12348
1,0.6,0.4,2.35619,1.231,1.15733
1,0.6,0.4,2.55254,1.272,1.19587
1,0.6,0.4,2.74889,1.326,1.24664
1,0.6,0.4,2.94524,1.403,1.31903
1,0.6,0.4,3.14159,1.445,1.35852
1,0.6,0.6,0,1.66,1.43294
1,0.6,0.6,0.19635,1.595,1.37683
1,0.6,0.6,0.3927,1.487,1.28361
1,0.6,0.6,0.58905,1.408,1.21541
1,0.6,0.6,0.7854,1.346,1.16189
1,0.6,0.6,0.98175,1.294,1.11701
1,0.6,0.6,1.1781,1.252,1.08075
1,0.6,0.6,1.37445,1.224,1.05658
1,0.6,0.6,1.5708,1.215,1.04881
1,0.6,0.6,1.76715,1.224,1.05658
1,0.6,0.6,1.9635,1.252,1.08075
1,0.6,0.6,2.15984,1.294,1.11701
1,0.6,0.6,2.35619,1.346,1.16189
1,0.6,0.6,2.55254,1.408,1.21541
1,0.6,0.6,2.74889,1.487,1.28361
1,0.6,0.6,2.94524,1.595,1.37683
1,0.6,0.6,3.14159,1.66,1.43294
1,0.8,0.2,0,1.464,1.435
1,0.8,0.2,0.19635,1.41,1.38207
1,0.8,0.2,0.3927,1.314,1.28798
1,0.8,0.2,0.58905,1.234,1.20956
1,0.8,0.2,0.7854,1.193,1.16937
1,0.8,0.2,0.98175,1.15,1.12722
1,0.8,0.2,1.1781,1.134,1.11154
1,0.8,0.2,1.37445,1.118,1.09586
1,0.8,0.2,1.5708,1.112,1.08998
1,0.8,0.2,1.76715,1.118,1.09586
1,0.8,0.2,1.9635,1.134,1.11154
1,0.8,0.2,2.15984,1.15,1.12722
1,0.8,0.2,2.35619,1.193,1.16937
1,0.8,0.2,2.55254,1.234,1.20956
1,0.8,0.2,2.74889,1.314,1.28798
1,0.8,0.2,2.94524,1.41,1.38207
1,0.8,0.2,3.14159,1.464,1.435
1,0.8,0.4,0,1.579,1.45251
1,0.8,0.4,0.19635,1.512,1.39087
1,0.8,0.4,0.3927,1.395,1.28325
1,0.8,0.4,0.58905,1.296,1.19218
1,0.8,0.4,0.7854,1.239,1.13974
