a/c,a/t,c/b,phi,F,Mg
1.1,0.5,0.05,2.25047,1.00374,1.03117
0.45,0.6,0.2,1.50624,1.30536,1.28706
0.6,0.6,0.01,2.68872,1.113,1.33536
1.1,0.3,0.1,1.80729,0.95614,0.99809
0.4,0.5,0.3,2.10417,1.23574,1.27709
0.4,0.5,0.05,2.40793,1.13402,1.32394
0.5,0.8,0.2,0.9036,1.31778,1.40575
0.7,0.2,0.15,2.99479,0.9921,1.176
0.9,0.3,0.01,2.55839,1.05432,1.0924
0.7,0.4,0.01,1.04607,1.07878,1.11633
0.65,0.8,0.05,1.03966,1.21344,1.26152
0.65,0.5,0.2,2.52991,1.09037,1.21708
1.6,0.7,0.05,1.49804,0.64719,0.81608
0.3,0.4,0.15,1.05206,1.20365,1.27518
1.2,0.3,0.2,1.80086,0.88212,0.95374
0.35,0.4,0.05,0.14837,0.87973,1.43304
0.6,0.8,0.2,1.36097,1.25943,1.24321
2.0,0.8,0.15,1.65046,0.52292,0.72786
0.6,0.8,0.05,2.84183,1.24897,1.55343
0.45,0.7,0.01,2.82993,1.15723,1.59437
1.5,0.7,0.15,0.00952,1.00443,0.99467
1.8,0.8,0.1,2.09921,0.65349,0.77946
1.1,0.2,0.01,0.30667,1.04727,1.05144
0.5,0.6,0.05,0.28539,1.08989,1.45994
0.7,0.5,0.15,0.00311,1.1454,1.3595
0.5,0.4,0.01,2.7303,0.97026,1.24412
1.8,0.5,0.15,1.21027,0.61208,0.76687
0.8,0.7,0.2,0.90162,1.16856,1.19194
0.25,0.8,0.3,1.20062,1.73587,1.71334
0.25,0.5,0.2,0.44224,1.01556,1.44179
0.7,0.8,0.2,2.40112,1.21435,1.29123
0.55,0.3,0.05,2.39514,1.01398,1.14028
1.0,0.3,0.1,0.75055,1.07249,1.0705
0.55,0.4,0.05,2.8745,0.97833,1.27018
1.9,0.7,0.15,0.44894,0.77094,0.7919
1.4,0.4,0.05,1.65418,0.73954,0.87305
0.9,0.7,0.05,0.29707,1.24095,1.30018
0.5,0.4,0.01,2.86608,0.9532,1.28209
0.3,0.8,0.2,1.19872,1.57568,1.59475
0.65,0.8,0.1,0.59253,1.22185,1.37993
0.8,0.2,0.1,1.63831,1.05665,1.05578
0.4,0.3,0.1,0.17619,0.85333,1.29732
0.9,0.4,0.01,1.04903,1.06564,1.07857
1.8,0.2,0.15,1.65905,0.57601,0.76734
1.2,0.2,0.01,0.76677,0.91821,0.95546
0.2,0.3,0.05,1.33893,1.23446,1.25004
0.65,0.7,0.15,1.9626,1.20303,1.21781
0.6,0.7,0.05,0.61549,1.17906,1.35352
